"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","G. Unskilled","Persons at work","Number","98"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","G. Unskilled","All unemployed persons","Number","8"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","G. Unskilled","All persons aged 15 years and over not in labour force","Number","2066"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","H. Own account workers","All persons aged 15 years and over","Number","2432"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","H. Own account workers","Persons at work","Number","666"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","H. Own account workers","All unemployed persons","Number","12"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","H. Own account workers","All persons aged 15 years and over not in labour force","Number","1754"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","I. Farmers","All persons aged 15 years and over","Number","6868"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","I. Farmers","Persons at work","Number","1823"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","I. Farmers","All unemployed persons","Number","7"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","I. Farmers","All persons aged 15 years and over not in labour force","Number","5038"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","J. Agricultural workers","All persons aged 15 years and over","Number","474"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","J. Agricultural workers","Persons at work","Number","44"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","J. Agricultural workers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","429"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","12026"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","Z. All others gainfully occupied and unknown","Persons at work","Number","259"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","Z. All others gainfully occupied and unknown","All unemployed persons","Number","41"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Cork County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","11726"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","All socio-economic groups","All persons aged 15 years and over","Number","25034"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","All socio-economic groups","Persons at work","Number","2538"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","All socio-economic groups","All unemployed persons","Number","100"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","22396"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","A. Employers and managers","All persons aged 15 years and over","Number","2505"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","A. Employers and managers","Persons at work","Number","400"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","A. Employers and managers","All unemployed persons","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","2095"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","B. Higher professional","All persons aged 15 years and over","Number","875"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","B. Higher professional","Persons at work","Number","157"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","B. Higher professional","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","B. Higher professional","All persons aged 15 years and over not in labour force","Number","718"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","C. Lower professional","All persons aged 15 years and over","Number","2552"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","C. Lower professional","Persons at work","Number","142"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","C. Lower professional","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","C. Lower professional","All persons aged 15 years and over not in labour force","Number","2404"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","D. Non-manual","All persons aged 15 years and over","Number","3236"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","D. Non-manual","Persons at work","Number","234"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","D. Non-manual","All unemployed persons","Number","12"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","D. Non-manual","All persons aged 15 years and over not in labour force","Number","2990"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","E. Manual skilled","All persons aged 15 years and over","Number","1850"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","E. Manual skilled","Persons at work","Number","107"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","E. Manual skilled","All unemployed persons","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1734"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","F. Semi-skilled","All persons aged 15 years and over","Number","1406"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","F. Semi-skilled","Persons at work","Number","157"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","F. Semi-skilled","All unemployed persons","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1239"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","G. Unskilled","All persons aged 15 years and over","Number","1168"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","G. Unskilled","Persons at work","Number","42"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","G. Unskilled","All unemployed persons","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1116"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","H. Own account workers","All persons aged 15 years and over","Number","1101"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","H. Own account workers","Persons at work","Number","253"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","H. Own account workers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","H. Own account workers","All persons aged 15 years and over not in labour force","Number","844"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","I. Farmers","All persons aged 15 years and over","Number","3369"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","I. Farmers","Persons at work","Number","861"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","I. Farmers","All unemployed persons","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","I. Farmers","All persons aged 15 years and over not in labour force","Number","2499"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","J. Agricultural workers","All persons aged 15 years and over","Number","140"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","J. Agricultural workers","Persons at work","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","J. Agricultural workers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","130"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","6832"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","Z. All others gainfully occupied and unknown","Persons at work","Number","175"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","Z. All others gainfully occupied and unknown","All unemployed persons","Number","30"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Kerry","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","6627"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","All socio-economic groups","All persons aged 15 years and over","Number","27418"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","All socio-economic groups","Persons at work","Number","2526"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","All socio-economic groups","All unemployed persons","Number","106"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","24786"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","A. Employers and managers","All persons aged 15 years and over","Number","2640"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","A. Employers and managers","Persons at work","Number","361"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","A. Employers and managers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","2275"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","B. Higher professional","All persons aged 15 years and over","Number","998"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","B. Higher professional","Persons at work","Number","211"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","B. Higher professional","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","B. Higher professional","All persons aged 15 years and over not in labour force","Number","786"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","C. Lower professional","All persons aged 15 years and over","Number","2765"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","C. Lower professional","Persons at work","Number","158"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","C. Lower professional","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","C. Lower professional","All persons aged 15 years and over not in labour force","Number","2603"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","D. Non-manual","All persons aged 15 years and over","Number","4229"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","D. Non-manual","Persons at work","Number","287"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","D. Non-manual","All unemployed persons","Number","14"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","D. Non-manual","All persons aged 15 years and over not in labour force","Number","3928"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","E. Manual skilled","All persons aged 15 years and over","Number","2470"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","E. Manual skilled","Persons at work","Number","129"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","E. Manual skilled","All unemployed persons","Number","11"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","2330"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","F. Semi-skilled","All persons aged 15 years and over","Number","1921"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","F. Semi-skilled","Persons at work","Number","156"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","F. Semi-skilled","All unemployed persons","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1756"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","G. Unskilled","All persons aged 15 years and over","Number","1622"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","G. Unskilled","Persons at work","Number","57"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","G. Unskilled","All unemployed persons","Number","13"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1552"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","H. Own account workers","All persons aged 15 years and over","Number","1008"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","H. Own account workers","Persons at work","Number","255"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","H. Own account workers","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","H. Own account workers","All persons aged 15 years and over not in labour force","Number","747"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","I. Farmers","All persons aged 15 years and over","Number","2816"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","I. Farmers","Persons at work","Number","772"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","I. Farmers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","I. Farmers","All persons aged 15 years and over not in labour force","Number","2042"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","J. Agricultural workers","All persons aged 15 years and over","Number","189"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","J. Agricultural workers","Persons at work","Number","14"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","J. Agricultural workers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","171"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","6760"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","Z. All others gainfully occupied and unknown","Persons at work","Number","126"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","Z. All others gainfully occupied and unknown","All unemployed persons","Number","38"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Limerick City and County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","6596"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","All socio-economic groups","All persons aged 15 years and over","Number","24398"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","All socio-economic groups","Persons at work","Number","2588"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","All socio-economic groups","All unemployed persons","Number","128"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","21682"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","A. Employers and managers","All persons aged 15 years and over","Number","2176"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","A. Employers and managers","Persons at work","Number","343"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","A. Employers and managers","All unemployed persons","Number","12"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1821"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","B. Higher professional","All persons aged 15 years and over","Number","702"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","B. Higher professional","Persons at work","Number","154"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","B. Higher professional","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","B. Higher professional","All persons aged 15 years and over not in labour force","Number","548"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","C. Lower professional","All persons aged 15 years and over","Number","2391"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","C. Lower professional","Persons at work","Number","144"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","C. Lower professional","All unemployed persons","Number","8"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","C. Lower professional","All persons aged 15 years and over not in labour force","Number","2239"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","D. Non-manual","All persons aged 15 years and over","Number","3327"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","D. Non-manual","Persons at work","Number","252"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","D. Non-manual","All unemployed persons","Number","25"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","D. Non-manual","All persons aged 15 years and over not in labour force","Number","3050"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","E. Manual skilled","All persons aged 15 years and over","Number","2119"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","E. Manual skilled","Persons at work","Number","122"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","E. Manual skilled","All unemployed persons","Number","18"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1979"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","F. Semi-skilled","All persons aged 15 years and over","Number","1533"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","F. Semi-skilled","Persons at work","Number","134"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","F. Semi-skilled","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1393"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","G. Unskilled","All persons aged 15 years and over","Number","1283"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","G. Unskilled","Persons at work","Number","45"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","G. Unskilled","All unemployed persons","Number","16"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1222"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","H. Own account workers","All persons aged 15 years and over","Number","979"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","H. Own account workers","Persons at work","Number","231"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","H. Own account workers","All unemployed persons","Number","5"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","H. Own account workers","All persons aged 15 years and over not in labour force","Number","743"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","I. Farmers","All persons aged 15 years and over","Number","3505"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","I. Farmers","Persons at work","Number","992"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","I. Farmers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","I. Farmers","All persons aged 15 years and over not in labour force","Number","2509"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","J. Agricultural workers","All persons aged 15 years and over","Number","317"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","J. Agricultural workers","Persons at work","Number","31"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","J. Agricultural workers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","284"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","6066"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","Z. All others gainfully occupied and unknown","Persons at work","Number","140"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","Z. All others gainfully occupied and unknown","All unemployed persons","Number","32"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Tipperary","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","5894"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","All socio-economic groups","All persons aged 15 years and over","Number","17371"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","All socio-economic groups","Persons at work","Number","1401"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","All socio-economic groups","All unemployed persons","Number","110"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","15860"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","A. Employers and managers","All persons aged 15 years and over","Number","1905"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","A. Employers and managers","Persons at work","Number","256"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","A. Employers and managers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1647"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","B. Higher professional","All persons aged 15 years and over","Number","699"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","B. Higher professional","Persons at work","Number","136"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","B. Higher professional","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","B. Higher professional","All persons aged 15 years and over not in labour force","Number","560"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","C. Lower professional","All persons aged 15 years and over","Number","1566"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","C. Lower professional","Persons at work","Number","77"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","C. Lower professional","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1487"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","D. Non-manual","All persons aged 15 years and over","Number","2639"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","D. Non-manual","Persons at work","Number","151"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","D. Non-manual","All unemployed persons","Number","12"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","D. Non-manual","All persons aged 15 years and over not in labour force","Number","2476"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","E. Manual skilled","All persons aged 15 years and over","Number","1869"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","E. Manual skilled","Persons at work","Number","75"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","E. Manual skilled","All unemployed persons","Number","16"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","1778"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","F. Semi-skilled","All persons aged 15 years and over","Number","1236"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","F. Semi-skilled","Persons at work","Number","81"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","F. Semi-skilled","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","1151"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","G. Unskilled","All persons aged 15 years and over","Number","1238"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","G. Unskilled","Persons at work","Number","35"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","G. Unskilled","All unemployed persons","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","G. Unskilled","All persons aged 15 years and over not in labour force","Number","1184"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","H. Own account workers","All persons aged 15 years and over","Number","639"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","H. Own account workers","Persons at work","Number","123"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","H. Own account workers","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","H. Own account workers","All persons aged 15 years and over not in labour force","Number","513"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","I. Farmers","All persons aged 15 years and over","Number","1224"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","I. Farmers","Persons at work","Number","354"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","I. Farmers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","I. Farmers","All persons aged 15 years and over not in labour force","Number","868"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","J. Agricultural workers","All persons aged 15 years and over","Number","169"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","J. Agricultural workers","Persons at work","Number","21"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","J. Agricultural workers","All unemployed persons","Number","2"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","146"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","4187"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","Z. All others gainfully occupied and unknown","Persons at work","Number","92"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","Z. All others gainfully occupied and unknown","All unemployed persons","Number","45"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Waterford City and County","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","4050"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","All socio-economic groups","All persons aged 15 years and over","Number","8848"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","All socio-economic groups","Persons at work","Number","775"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","All socio-economic groups","All unemployed persons","Number","57"
